source_node,path_score,path_nodes,path_edges,path_length
C12247,1.0166666666666666,C12247 -> C1065,0,1
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C3468 -> C504,"362992,298564,334220,367862",4
C10438,1.0166666666666666,C10438 -> C754 -> C1003 -> C528 -> C2918,"290746,298571,12682,277938",4
C10438,1.0166666666666666,C10438 -> C754 -> C1003 -> C528 -> C1628,"290746,298571,12682,277932",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C549 -> C1056,"362992,298564,404411,404138",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C549 -> C1003,"362992,298564,404411,404137",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C549 -> C504,"362992,298564,404411,404141",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C1003 -> C528,"362992,298564,334180,12682",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C1003 -> C457,"362992,298564,334180,244506",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1173 -> C1056,"202113,287742,298564,334214",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1173 -> C549,"202113,287742,298564,404411",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1173 -> C1003,"202113,287742,298564,334180",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1173 -> C3468,"202113,287742,298564,334220",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1173 -> C504,"202113,287742,298564,334213",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C1003 -> C625,"362992,298564,334180,231516",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1056 -> C1003,"202113,287742,298567,399125",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C1056 -> C504,"202113,287742,298567,399123",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C3468 -> C529,"362992,298564,334220,88472",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C3468 -> C1056,"362992,298564,334220,367861",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C3468 -> C1003,"362992,298564,334220,367860",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C3468 -> C1759,"362992,298564,334220,367858",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C1173,"202113,287742,403050,209200",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C1056,"202113,287742,403050,209199",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C549,"202113,287742,403050,209201",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C1003,"202113,287742,403050,209204",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C3468,"202113,287742,403050,209208",4
C16691,1.0166666666666666,C16691 -> C612 -> C754 -> C2519 -> C504,"202113,287742,403050,209209",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C1056 -> C504,"362992,298564,334214,399123",4
C21853,1.0166666666666666,C21853 -> C754 -> C1173 -> C1056 -> C1003,"362992,298564,334214,399125",4
C10051,1.0166666666666666,C10051 -> C625 -> C1628 -> C46 -> C754,"172266,277028,34330,289974",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1056 -> C1003,"290746,298565,404138,399125",4
C10051,1.0166666666666666,C10051 -> C625 -> C754 -> C3468 -> C1003,"172266,293799,298572,367860",4
C10051,1.0166666666666666,C10051 -> C625 -> C754 -> C3468 -> C1759,"172266,293799,298572,367858",4
C10051,1.0166666666666666,C10051 -> C625 -> C754 -> C3468 -> C504,"172266,293799,298572,367862",4
C10438,1.0166666666666666,C10438 -> C754 -> C2519 -> C3468 -> C1056,"290746,403050,209208,367861",4
C10438,1.0166666666666666,C10438 -> C754 -> C2519 -> C3468 -> C1003,"290746,403050,209208,367860",4
C10438,1.0166666666666666,C10438 -> C754 -> C2519 -> C3468 -> C1759,"290746,403050,209208,367858",4
C10438,1.0166666666666666,C10438 -> C754 -> C2519 -> C3468 -> C504,"290746,403050,209208,367862",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1173 -> C1056,"290746,298565,404140,334214",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1173 -> C1003,"290746,298565,404140,334180",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1173 -> C3468,"290746,298565,404140,334220",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1173 -> C504,"290746,298565,404140,334213",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1056 -> C504,"290746,298565,404138,399123",4
C10051,1.0166666666666666,C10051 -> C625 -> C2918 -> C754 -> C18128,"172266,277029,293095,141728",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1003 -> C528,"290746,298565,404137,12682",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1003 -> C457,"290746,298565,404137,244506",4
C10438,1.0166666666666666,C10438 -> C754 -> C549 -> C1003 -> C625,"290746,298565,404137,231516",4
C10051,1.0166666666666666,C10051 -> C625 -> C2918 -> C754 -> C1173,"172266,277029,293095,298564",4
C10051,1.0166666666666666,C10051 -> C625 -> C2918 -> C754 -> C1056,"172266,277029,293095,298567",4
C10051,1.0166666666666666,C10051 -> C625 -> C2918 -> C754 -> C2519,"172266,277029,293095,403050",4
