epoch,loss,cal_auc
1,1724.113525390625,0.4987928536938677
2,604.2623291015625,
3,296.1098937988281,
4,19.005985260009766,
5,6.824918270111084,
6,6.25693416595459,
7,5.624203205108643,
8,4.829462051391602,
9,4.307987689971924,
10,3.7967123985290527,0.4970616961503007
11,3.5578176975250244,
12,3.353200674057007,
13,3.3604373931884766,
14,3.403444290161133,
15,3.332756280899048,
16,3.325976610183716,
17,3.289620876312256,
18,3.117253065109253,
19,2.969212532043457,
20,2.697382926940918,0.4985322198323164
21,2.598275661468506,
22,2.480835199356079,
23,2.4332809448242188,
24,2.336674928665161,
25,2.3117542266845703,
26,2.293539524078369,
27,2.255232095718384,
28,2.197497606277466,
29,2.164447546005249,
30,2.1729748249053955,0.4987681620648786
31,2.155841827392578,
32,2.090643882751465,
33,2.0535194873809814,
34,1.9958713054656982,
35,1.9794570207595825,
36,1.9666814804077148,
37,1.9641427993774414,
38,1.9405083656311035,
39,1.9488849639892578,
40,1.9154767990112305,0.4988093147798604
41,1.92484450340271,
42,1.8900237083435059,
43,1.9218933582305908,
44,1.888135313987732,
45,1.8499791622161865,
46,1.8427209854125977,
47,1.8096815347671509,
48,1.8488277196884155,
49,1.8264942169189453,
50,1.8294326066970825,0.49900959132610506
51,1.8277052640914917,
52,1.7852438688278198,
53,1.7884507179260254,
54,1.8098790645599365,
55,1.764240026473999,
56,1.7500299215316772,
57,1.787152886390686,
58,1.7493895292282104,
59,1.7572697401046753,
60,1.7303855419158936,0.49874072692155746
61,1.7283666133880615,
62,1.732328176498413,
63,1.7353614568710327,
64,1.741180181503296,
65,1.7130906581878662,
66,1.6748857498168945,
67,1.6802492141723633,
68,1.6886820793151855,
69,1.7165311574935913,
70,1.6487634181976318,0.49839778763004255
71,1.6278142929077148,
72,1.6584099531173706,
73,1.6107032299041748,
74,1.617695927619934,
75,1.6341062784194946,
76,1.6237541437149048,
77,1.6346766948699951,
78,1.6360336542129517,
79,1.617762565612793,
80,1.61895751953125,0.49807405293885254
81,1.6307153701782227,
82,1.6179288625717163,
83,1.6265171766281128,
84,1.6046088933944702,
85,1.6345642805099487,
86,1.6590732336044312,
87,1.6007888317108154,
88,1.6201972961425781,
89,1.5936647653579712,
90,1.5919954776763916,0.4979423642509109
91,1.617341160774231,
92,1.6157633066177368,
93,1.6050325632095337,
94,1.574513554573059,
95,1.5603668689727783,
96,1.5581996440887451,
97,1.5678339004516602,
98,1.576232671737671,
99,1.6192489862442017,
100,1.5401973724365234,0.49532505157806944
