edge_index,edge_rarity,src_out_degree,dst_in_degree
0,1.0,1,12
1,1.0,1,1
2,1.0,1,1
3,1.0,1,12
4,1.0,1,12
5,1.0,1,1
6,1.0,1,1
7,1.0,1,12
8,1.0,1,12
9,1.0,1,12
10,1.0,1,12
11,1.0,1,12
12,1.0,1,12
13,1.0,1,12
14,1.0,1,12
15,1.0,32,1
16,0.5,32,1
17,1.0,32,1
18,1.0,32,1
19,0.5,32,1
20,1.0,32,1
21,1.0,32,1
22,1.0,32,1
23,1.0,32,1
24,1.0,32,1
25,1.0,32,1
26,1.0,32,1
27,1.0,32,1
28,1.0,32,1
29,1.0,32,1
30,1.0,32,1
31,1.0,32,1
32,1.0,32,1
33,1.0,32,1
34,1.0,32,1
35,1.0,32,1
36,1.0,32,1
37,1.0,32,1
38,1.0,32,1
39,1.0,32,1
40,1.0,32,1
41,1.0,32,1
42,1.0,32,1
43,1.0,32,1
44,1.0,32,1
45,1.0,32,1
46,1.0,32,1
47,1.0,1,12
