edge_index,score
0,1.0
1,0.6521739130434783
2,1.0
3,0.44347826086956516
4,1.0
5,0.6521739130434783
6,1.0
7,0.6521739130434783
8,0.6521739130434783
9,0.6521739130434783
10,0.536231884057971
11,1.0
12,1.0
13,1.0
14,0.6521739130434783
15,1.0
16,1.0
17,0.6521739130434783
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,0.6521739130434783
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.6521739130434783
35,1.0
36,0.6521739130434783
37,1.0
38,1.0
39,0.6521739130434783
40,1.0
41,0.6521739130434783
42,1.0
43,1.0
44,0.4202898550724637
45,0.6521739130434783
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,0.536231884057971
53,0.536231884057971
54,0.6521739130434783
55,0.6521739130434783
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,0.6521739130434783
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,0.3478260869565217
85,0.0
86,0.3478260869565217
87,0.3478260869565217
88,0.0
89,0.3478260869565217
90,0.3478260869565217
91,0.3478260869565217
92,0.3478260869565217
93,0.3478260869565217
94,0.3478260869565217
95,0.3478260869565217
96,0.3478260869565217
97,0.3478260869565217
98,0.3478260869565217
99,0.3478260869565217
100,0.3478260869565217
101,0.3478260869565217
102,0.3478260869565217
103,0.3478260869565217
104,0.3478260869565217
105,0.3478260869565217
106,0.3478260869565217
107,0.3478260869565217
108,0.3478260869565217
109,0.3478260869565217
110,0.3478260869565217
111,0.3478260869565217
112,0.3478260869565217
113,0.3478260869565217
114,0.3478260869565217
115,0.3478260869565217
116,1.0
