src,dst,label,one_class_svm_score,svc_score,isolation_forest_score
C706,C21252,0,-64.6851475126673,0.0002752541853415121,0.49844438011906694
C5904,C2174,0,-41.426252422756306,2.5963218554683133e-07,0.6260501452517158
C3806,C612,0,-80.42987061944928,0.00017553510570186717,0.46759102086040677
C20950,C1707,0,-54.60146917147563,1.59791347283325e-05,0.47715771917769134
C21215,C231,0,-59.37600867488345,7.996189734031498e-06,0.47817103931467614
C4174,C10138,0,-47.790365309881054,0.0002406312551173794,0.46873643830004025
C6568,C586,0,-62.787192901641674,4.988272044451023e-05,0.47552681398488805
C13678,C754,0,1.5537219055722744,2.687382915221496e-06,0.5393134558550917
C22192,C1883,0,-43.354551211454464,0.00017529498554888756,0.44014154300361485
C5763,C13585,0,-10.228623873129436,8.146630634980006e-05,0.5183977343497881
C457,C5929,0,-41.98917730806488,0.00017358257127481446,0.48677025240089644
C11576,C1065,0,-66.17741104375182,0.00013105634711678115,0.45631949334662775
C7878,C754,0,-0.390634754957091,1.0772081670754847e-06,0.6272097424700948
C1065,C7539,0,-25.401896486401938,0.00042714376348110944,0.45263621441905943
C9542,C585,0,-4.010357534895547,1.0000000994736041e-07,0.6063557408835513
C3349,C786,0,-58.25675717889976,0.0003654185484631069,0.5119850767372236
C17924,C1685,0,-34.30805586375618,8.398066625830375e-06,0.5040484825669237
C1645,C586,0,3.1772110040935786,8.835021157952643e-05,0.5741314535730266
C21931,C2109,0,-40.67222629854814,2.435270875823863e-06,0.504709527220419
C754,C23923,0,-7.664607574515003,6.149802092980443e-05,0.5363518712840338
C6171,C585,0,-8.914463912172778,1.1469393173945179e-07,0.6259175416098288
C457,C12856,0,-12.484153877629524,0.0004367560500842081,0.4497996172828071
C1707,C38,0,-81.13436755170983,0.0003722621823107223,0.4973862196117209
C1685,C22835,0,-36.428255456616625,0.0003857952997140572,0.45556960469924684
C3705,C754,0,-43.839600509324555,3.910401013771252e-06,0.4944500090768892
C6871,C585,0,59.214663303941734,3.834282793193188e-06,0.5985418019414678
C16712,C9692,0,-47.11859424649583,0.0003577111891020166,0.46347465331237353
C16873,C585,0,27.076665175760127,3.261603854803712e-06,0.5804017899860003
C231,C16126,0,-66.47252408780037,0.0002154278664808891,0.49037465866635077
C5843,C625,0,-84.44698295624994,0.00024107149680379394,0.4977195067733576
C5313,C231,0,-58.86863663787858,2.300964432765102e-05,0.4749347074676857
C14694,C1065,0,-103.85735378084814,5.421345255269732e-07,0.616607214254707
C5900,C9691,0,-49.29262265158036,0.0001229236155596458,0.5342895379969228
C14625,C467,0,-90.83727771602958,1.5506319895047723e-06,0.61742065110217
C16439,C5030,0,-55.95575322910577,2.17211408649934e-06,0.5194930530376946
C9647,C586,0,-106.50594945276953,1.0000000994736041e-07,0.5983774461084886
C768,C467,0,-33.0567838165764,0.0001994456269667157,0.5456596310764692
C20524,C1707,0,-30.4095094166164,8.051061658775312e-06,0.5129361350725085
C3743,C2186,0,-57.450002526902836,7.529269035449008e-05,0.4567445230290565
C17435,C706,0,-55.65947406594046,2.427952813331656e-05,0.4857793994199809
C20785,C5721,0,-48.24062869125055,1.0000000994736041e-07,0.6104513311514465
C10107,C231,0,-75.99543547488543,5.7696225342193376e-05,0.47054945272031273
C231,C11143,0,-61.35190313790554,0.00015688848118368165,0.500135819641521
C585,C10163,0,-6.705511927751331,8.935314525019952e-05,0.5666257745016123
C25133,C1685,0,46.79696948182118,1.2284579188141349e-05,0.5750731011012918
C1433,C706,0,-75.34993184069185,2.1310110644958454e-05,0.47864698600783606
C1879,C6314,0,-44.87335029477481,3.493117446282848e-05,0.4861809351058852
C17370,C585,0,3.098448364430851,3.073022015142739e-06,0.5616073935723369
C17137,C5463,0,132.60286820207807,0.00017793856137605926,0.6622131403255616
C13570,C529,0,-60.000246620473945,2.016036402423852e-06,0.5152224185813007
C612,C6253,0,-51.35909106806071,0.0003580504153628046,0.4564678081641005
C3933,C529,0,-65.92726734301209,0.0001005275762484119,0.46453601858234295
C15244,C10916,0,-67.02829725073661,0.00020607960679344247,0.48025045864493826
C585,C19501,0,4.176428390125693,7.089055048222019e-05,0.577460701978377
C5917,C1707,0,-37.13558032893229,1.2859938903977972e-05,0.509238154784099
C15020,C612,0,-91.63096084027597,0.0001413502710326437,0.49214481419485384
C457,C12632,0,-60.6477841992762,0.0003747974686662584,0.48523999470272117
C1098,C5030,0,-57.96009965294934,0.00016333679068300186,0.46043953619955647
C17286,C4920,0,2.8336980102799316,2.3205185841035135e-06,0.5421745516202893
C15865,C1583,0,-38.389703201800785,0.0002852599291984681,0.5381357854128491
C5588,C12380,0,-65.42386942792996,0.00027878376617262334,0.5131459701810518
C742,C9986,0,-63.12018515698492,0.0004536008166021604,0.5026371094044668
C21040,C754,0,-52.91089828494523,3.879550675892194e-07,0.6164889524475908
C457,C21746,0,-6.850673682441538,4.326151109545087e-05,0.5151974811691727
C706,C3597,0,-82.94104233574535,0.00038720095309532454,0.4828410583468687
C1743,C5626,0,-71.74757912564132,0.00021417548555792334,0.49368090394149877
C15244,C17922,0,16.468807935312952,0.00010486054332294186,0.5728644185811945
C585,C7290,0,-4.301302199544807,7.651090983309624e-05,0.5322882603790159
C2109,C18071,0,-82.88376091934333,0.0003564281716039389,0.4875897099373768
C231,C21337,0,-49.504003679596735,0.00016960237634813439,0.4880284563704983
C16358,C586,0,-112.06283435557202,1.818095720340783e-07,0.611259113209256
C15650,C12642,0,-12.103543163759696,0.00013675189094271878,0.5192204521276431
C2920,C5721,0,68.91124317968877,7.768971761966033e-06,0.6091458683623727
C18516,C1707,0,-58.435318596943716,1.5568465515434672e-05,0.4726079801644649
C14114,C5720,0,-42.02224931677438,1.915459632673655e-06,0.5241823353095665
C4222,C4655,0,-23.782077518254937,0.00037688004090785383,0.5249238526104525
C585,C1403,0,-18.38152384545515,6.433561850691165e-05,0.5330265252175964
C9797,C16712,0,-56.33768942304914,0.00010402892202312819,0.4519247195628044
C625,C13730,0,-10.039514778822877,0.0003772869418798259,0.46215893331739955
C22625,C231,0,-17.689303671606694,7.388163045300658e-07,0.5553600086658199
C2148,C6530,0,-42.39857859742074,0.00021866789818912683,0.5330457821194562
C11893,C2109,0,-57.22445100908817,0.00035294580493772776,0.46595500892936625
C528,C25760,0,-50.29800086748833,0.00028579314170771127,0.4603244452814557
C706,C12236,0,-56.345621103001804,0.0003707483043003162,0.47123539424496746
C21909,C5721,0,23.034668141149723,6.970529329769284e-07,0.6101619375315593
C23276,C5736,0,13.079462680167808,2.700342230162487e-06,0.6307407067694402
C754,C286,0,-49.504003679596735,0.00016960237634813439,0.4880284563704983
C16574,C5720,0,-13.93180157440861,4.0151987693218244e-05,0.5436151847351803
C18010,C395,0,-69.31478163105726,3.357711255007625e-05,0.47319037096779365
C15272,C4174,0,-77.12545934643595,9.899725686380959e-05,0.464110088836651
C612,C7144,0,-10.857511610732672,0.00037004609891178215,0.4575337128839832
C2057,C11779,0,-82.803423722871,0.0004802357983525131,0.488673144822981
C17146,C585,0,-7.841174637830136,1.0000000994736041e-07,0.5958069748888889
C26485,C20446,0,-63.24977871426768,9.993183129304097e-05,0.49448320767928555
C528,C19574,0,-79.32951529131196,0.00039250340592924843,0.4997876946700734
C7720,C2109,0,-54.2176410565296,0.00034186694212667113,0.4662415158290592
C15070,C5721,0,-26.187103365764187,2.3537165971770878e-07,0.6045615496042107
C1707,C8943,0,-80.20844904547153,0.00038995417933806797,0.502548088446474
C18578,C1707,0,-49.29995786643394,1.6021562399980605e-05,0.48342860047155867
C754,C11451,0,-48.475792166505244,0.0001298187201874332,0.5323177259690198
C16712,C3179,0,-46.28538332068615,0.00020779206099239643,0.48198213449137234
C457,C2095,0,-12.548528920259287,0.00039371592289380125,0.44967262663149715
C11391,C16712,0,-62.80795662097535,6.315630467692224e-05,0.44801351819234164
C586,C4193,0,-40.92515105270695,0.00025665050565488236,0.4595745325375356
C1065,C14984,0,-41.338566090271115,0.00041068332803187533,0.48457585384511526
C14655,C706,0,-51.7774737853174,2.1680021955830318e-05,0.49780577162880235
C6113,C585,0,-14.010520970118478,1.0000000994736041e-07,0.6118570444892946
C2150,C21766,0,-55.50120051861927,0.00013781457740334898,0.517464301006169
C467,C1905,0,-51.73866171786585,0.00037151946868387183,0.5033725086702722
C1065,C10827,0,-63.663564052309994,0.0003539556111609584,0.4648801079755742
C2588,C7377,0,9.326442090055252,0.00016533053598790441,0.5799234860743463
C4042,C5721,0,35.87571841187196,6.588491500262682e-06,0.5869018566449947
C12877,C5763,0,-2.4603200311917135,5.678416673536199e-06,0.534010218603438
C612,C2827,0,-34.45784515351443,0.00044547261137852927,0.49119616090284157
C4790,C5721,0,5.4106595958442085,4.35361836602988e-06,0.56066377864528
C11667,C5808,0,11.634907670097391,0.0005635253894288359,0.5607928169735499
C231,C15558,0,-51.71752960029676,0.0003194299477998808,0.463644460496351
C585,C13847,0,-45.117906849389556,0.00041624265819659097,0.4821474562808607
C2486,C231,0,-58.68807986421393,5.1758370687131465e-06,0.48920860029464447
C467,C4988,0,-24.64901534690739,0.0004067221362951171,0.5107124224775185
C5030,C6705,0,-65.41213653419572,0.00029803687721980824,0.47180290003167846
C6819,C706,0,-75.39978490129965,2.1340840712356938e-05,0.4772863763385185
C2174,C22583,0,-75.92928527126969,0.0004799545360240227,0.4952740877189921
C529,C242,0,-9.204984012822933,0.00041639241589856794,0.4605217284038531
C5904,C1015,0,-3.8685951770639804,9.694429627621933e-06,0.5274116613684354
C3040,C278,0,-59.16591832374206,0.000314813761970337,0.4727665122864294
C625,C19735,0,-66.22644672753972,0.0001967297819069655,0.4874119127982389
C1879,C20744,0,-44.91438935846122,2.4425681911535428e-05,0.4839039679160489
C13623,C585,0,53.583057128321116,1.0000000994736041e-07,0.6464248409586588
C6683,C4920,0,-62.17777033996481,4.785063406554418e-06,0.49406272173420984
C1973,C3185,0,-61.645725531350536,0.00033621305226759577,0.5220374241460627
C18155,C742,0,-67.9779863539436,1.487621282732749e-05,0.4853863392045386
C15244,C14273,0,53.128472366604,4.5990779484905243e-05,0.6066098552764149
C11077,C1707,0,-51.764025294128714,1.6082389609878718e-05,0.47769739398106303
C1065,C9159,0,-41.46918968194359,0.00035738543687817084,0.45061851834614924
C22265,C231,0,-47.36935235773444,1.6544318508241911e-06,0.5251117360494368
C457,C962,0,-47.2026475386449,0.00023831603501860705,0.4672201904328265
C1973,C1549,0,-45.02826444924335,1.9341881486411e-05,0.48613430388987694
C10992,C585,0,11.598642418458212,2.3967202848994924e-07,0.6330934156953488
C3554,C5721,0,4.286727075935232,5.044061354880429e-07,0.6022372158947582
C625,C6001,0,-16.151732774887023,0.0004691351893370568,0.45941125876910804
C457,C10347,0,-75.46445299980928,0.0003682528831097612,0.47435108501498435
C14678,C529,0,-90.70186703602326,9.428676697357711e-05,0.4913880377846695
C18390,C231,0,-59.28570666236487,7.029262892730493e-06,0.4871251392576784
C359,C16168,0,-43.91862592421694,0.0004280132084298524,0.48260591447416684
C2109,C185,0,-52.13611325644024,0.00021697803173065342,0.486027420937488
C586,C11292,0,-64.66596597030639,0.00036361675441131677,0.4763560581852491
C1065,C23398,0,-57.19716385570632,0.0003590222656185306,0.4692006191881017
C467,C26778,0,-54.508010986502995,0.00013230297803873292,0.5106782199433614
C5721,C18570,0,59.18558551447177,7.900915807019184e-05,0.6195116015082006
C23380,C12907,0,-60.249270278151926,0.00012576215343421474,0.49962408287814186
C5751,C4920,0,-52.36381225856462,0.0001297320212445868,0.44463375235034475
C754,C13771,0,-25.40467800805027,0.0004177762279229929,0.5193164250961527
