src,dst
C745,C1173
C12089,C5826
C17693,C400
C1901,C16750
C12816,C2128
C21159,C22396
C395,C1179
C5808,C20552
C15701,C2983
C3598,C46
C5782,C22902
C5418,C338
C5787,C19183
C12449,C7298
C8935,C24135
C5808,C12739
C772,C1056
C6522,C2825
C5787,C11952
C20473,C2519
C16038,C14993
C14794,C13717
C3882,C1556
C3412,C18266
C18002,C5698
C23114,C2026
C19570,C3574
C8677,C3065
C820,C1056
C1220,C1056
C721,C1056
C17693,C17640
C25192,C2519
C11915,C1821
C17693,C3469
C1311,C1173
C5782,C26055
C4931,C2436
C21642,C25856
C5301,C1173
C8165,C3065
C5763,C15539
C379,C1056
C6055,C338
C772,C1173
C16270,C448
C1311,C3468
C1522,C2983
C9997,C22399
C1311,C549
C5782,C22903
C745,C549
C17640,C2519
C505,C5590
C1277,C5698
C1053,C2389
C13246,C3774
C5782,C16694
C7328,C24136
C11472,C22399
C498,C338
C2035,C22032
C17693,C1906
C820,C1173
C640,C2389
C395,C15386
C14253,C5637
C8040,C1435
C2827,C1015
C19797,C338
C16712,C23224
C1487,C1884
C14615,C2415
C8424,C18266
C13168,C13717
C3427,C4785
C772,C1003
C1567,C2835
C13542,C2026
C16637,C3574
C14959,C13717
C3089,C13717
C18453,C4667
C25536,C2270
C11472,C22400
C14670,C22397
C23769,C5374
C4323,C1947
C5202,C338
C820,C1003
C18204,C23304
C18576,C2683
C13328,C3287
C5782,C27012
C1015,C13960
C395,C24064
C5782,C23660
C9997,C4682
C10743,C338
C11227,C25856
C1901,C16739
C1220,C1173
C5808,C16531
C721,C1173
C182,C1697
C772,C549
C2039,C2189
C6785,C338
C1311,C1056
C11472,C1487
C395,C3350
C1220,C3468
C721,C3468
C5301,C1056
C379,C1173
C4639,C3287
C26612,C13024
C17693,C1549
C25192,C4785
C17412,C23778
C3427,C2519
C17693,C9006
C395,C14231
C18369,C2008
C875,C1173
C379,C3468
C721,C1003
C10,C4044
C5450,C46
C5787,C7740
C505,C2483
C17693,C721
