src,dst
C743,C6600
C4174,C21309
C22529,C7695
C1065,C13918
C2174,C2567
C5588,C10798
C6163,C205
C457,C15003
C1973,C23962
C15650,C11613
C457,C14136
C5136,C17855
C23392,C9851
C457,C20058
C20375,C585
C9692,C25544
C5136,C14470
C15244,C16670
C457,C21931
C15244,C11813
C22529,C12494
C23392,C7300
C15244,C24661
C8406,C4920
C923,C18113
C743,C10022
C15244,C24162
C612,C4473
C2057,C16796
C15244,C25107
C3349,C8369
C5721,C13082
C457,C17680
C3349,C184
C5136,C19485
C22529,C5353
C22820,C5720
C12843,C8964
C15244,C10221
C16070,C2109
C4222,C12915
C5136,C20779
C4920,C8567
C17693,C19582
C12843,C23393
C9150,C19915
C18348,C585
C21233,C612
C3112,C5720
C3349,C2861
C14439,C457
C17205,C625
C20128,C4920
C18077,C13527
C1743,C11844
C18495,C8435
C15153,C1382
C5588,C19597
C1200,C1906
C20696,C262
C5640,C12638
C15244,C19144
C15244,C24826
C15244,C22169
C22033,C585
C3684,C754
C612,C22858
C15244,C4984
C19195,C585
C2424,C10388
C5136,C10577
C13185,C5720
C5588,C2814
C5136,C14121
C2174,C577
C18495,C732
C7192,C5720
C528,C8219
C18384,C16635
C15244,C22987
C4174,C11723
C5136,C14341
C5136,C9986
C586,C15838
C1795,C9954
C906,C2935
C585,C76
C22529,C22938
C15244,C10630
C15722,C22112
C2024,C19576
C5136,C18713
C21405,C457
C1130,C743
C1795,C2679
C3028,C19538
C15244,C23477
C15746,C457
C3349,C6091
C9108,C3028
C17678,C359
C10492,C754
C585,C22033
C1743,C18401
C15244,C26570
C4222,C5408
C231,C14986
C16825,C3349
C11856,C754
C17225,C586
C6442,C528
C3349,C6294
C15244,C18763
C3363,C21545
C15244,C18104
C1743,C15257
C15101,C18186
C3349,C9467
C6763,C15408
C5136,C22923
C3832,C6965
C1973,C17372
C22112,C20718
C3349,C12032
C5136,C16156
C3349,C11686
C22529,C10208
C5588,C20856
C2109,C16070
C457,C21095
C2174,C2007
C15244,C3961
C22920,C7107
C20206,C743
C4920,C17887
C4222,C1199
C22638,C13134
C4920,C17976
C6935,C625
C1050,C5720
C5588,C15117
C15244,C12449
C1473,C585
C15244,C26298
C15101,C11613
C851,C13060
C20773,C585
C1199,C754
C645,C4920
C22529,C1439
C15244,C26554
C18281,C5900
C13035,C2254
C978,C10510
C22529,C14455
C754,C3810
C4289,C532
C5136,C8340
C15244,C27073
C5136,C26606
C667,C19915
C1743,C10421
C18495,C113
C17334,C585
C5763,C12981
C18495,C1217
C4920,C619
C9755,C5721
C3349,C382
C4174,C11039
C15244,C27094
C22920,C11844
C15244,C22358
C1618,C21801
C14895,C4920
C3349,C17131
C529,C4473
C22112,C14539
C10208,C15843
C1743,C17125
C2174,C8274
C20963,C1973
C18005,C4174
C4222,C10568
C1544,C21694
C1065,C17572
C3349,C6492
C15244,C24848
C17731,C3349
C482,C4448
C15244,C13886
C15244,C25900
C13072,C585
C3028,C15027
C1743,C5810
C743,C12766
C5736,C12770
C15244,C25864
C1514,C4174
C1743,C360
C22529,C11708
C14094,C1089
C5136,C13246
C15244,C26287
C15244,C25937
C22529,C689
C10355,C585
C8308,C5721
C1743,C18035
C5640,C13346
C22027,C4920
C11719,C2651
C19162,C585
C22529,C19233
C3349,C15339
C21044,C1707
C3077,C9414
C3349,C1336
C625,C2997
C17693,C15563
C15244,C22885
C5136,C11017
C15244,C25846
C15244,C17256
C5136,C4655
C3455,C19580
C21290,C5030
C2174,C19865
C5721,C8021
C5588,C14698
C15432,C4920
C4920,C16465
C4920,C22658
C20760,C16712
C20696,C174
C5640,C16397
C15244,C16862
C22529,C14032
C15244,C3144
C5640,C10208
C22529,C19887
C528,C14789
C2174,C9036
C4174,C24749
C3028,C16820
C16087,C231
C16563,C10939
C5763,C21048
C22529,C18199
C457,C15180
C15244,C24755
C5136,C12147
C17693,C17420
C18005,C743
C15244,C13871
C18495,C20257
C15244,C23049
C15244,C26814
C5136,C20195
C15244,C25725
C8887,C743
C13568,C754
C15244,C4642
C536,C2651
C1743,C10686
C754,C278
C5136,C21102
C8698,C2057
C338,C754
C1685,C16507
C12547,C2109
C586,C18167
C5136,C1156
C22920,C717
C482,C1543
C15244,C20860
C10506,C1973
C625,C9411
C2174,C8843
C11827,C3349
C754,C10305
C625,C9250
C20903,C16712
C22529,C10388
C22571,C625
C3363,C10008
C355,C4920
C5136,C8498
C906,C8700
C3349,C7057
C17693,C11849
C453,C457
C15244,C24959
C22920,C8964
C3349,C7878
C15244,C25985
C15244,C25786
C1743,C16289
C8086,C15365
C5136,C29
C3349,C10453
C8021,C5721
C5809,C3349
C2109,C13968
C15244,C23309
C5136,C22546
C5640,C1011
C24629,C231
C743,C8887
C18186,C15408
C15244,C26495
C15244,C22966
C19468,C1567
C20327,C1200
C18288,C457
C9066,C1065
C625,C22903
C612,C5820
C15244,C24580
C4657,C4920
C15244,C17202
C22529,C6922
C5136,C3202
C15244,C13218
C20104,C1065
C15244,C27060
C22529,C21708
C467,C19929
C8346,C5720
C15139,C3028
C1193,C16182
C21999,C754
C3028,C16397
C1065,C17185
C17693,C25806
C3349,C1332
C5640,C10243
C5136,C1577
C15244,C24377
C3028,C25759
C4798,C3028
C15244,C8424
C3028,C13220
C236,C754
C12013,C585
C15244,C24937
C4920,C4814
C3349,C1161
C586,C19929
C18128,C754
C22529,C13564
C1544,C17105
C166,C585
C23392,C16180
C15244,C24830
C9066,C467
C3292,C5721
C22112,C5817
C26485,C984
C15244,C6089
C11701,C291
C3028,C10831
C17396,C152
C3349,C10492
C15244,C21331
C4222,C15457
C4174,C11637
C754,C15758
C3349,C23275
C15244,C22368
C4174,C11915
C17786,C20244
C15244,C25737
C13640,C2651
C814,C2109
C20602,C16712
C8770,C754
C14114,C13060
C23679,C529
C3349,C7308
C5794,C4920
C743,C6467
C3349,C1358
C5588,C1449
C231,C15722
C15244,C5954
C15244,C7590
C534,C585
C906,C7850
C754,C20225
C754,C12675
C1544,C196
C3349,C15027
C5640,C16916
C4222,C782
C22010,C2983
C4920,C12391
C436,C754
C3349,C14663
C18495,C21801
C21524,C625
C4222,C12568
C11311,C4920
C3349,C23259
C23392,C4984
C15244,C24947
C22529,C2943
C22677,C585
C22362,C8086
C1795,C5407
C5136,C379
C420,C585
C15244,C19912
C3028,C18696
C906,C4695
C16137,C2109
C6427,C24656
C231,C16072
C743,C1857
C5136,C6777
C17693,C7711
C5136,C13414
C906,C19723
C2057,C12652
C15244,C15259
C12770,C5736
C529,C5637
C5721,C18731
C5136,C20416
C18979,C4920
C15244,C17520
C4920,C11374
C3349,C331
C15244,C22554
C15244,C20873
C15408,C12253
C467,C5705
C15682,C754
C1707,C17018
C9780,C754
C9256,C754
C4222,C708
C3349,C12983
C3349,C18072
C21606,C5720
C19741,C18436
C23029,C585
C10607,C743
C3612,C27171
C3028,C5989
C15244,C19388
C1544,C2704
C2651,C7722
C15244,C21268
C16106,C3028
C17693,C18859
C625,C13907
C20667,C4174
C348,C5736
C15244,C25671
C22956,C1707
C15244,C25062
C586,C5705
C12682,C625
C8443,C3028
C18495,C3148
C5136,C2659
C15244,C23883
C625,C23912
C12604,C4920
C4920,C20293
C5136,C5321
C515,C2109
C3774,C4508
C1544,C5954
C15408,C7601
C2174,C1591
C5136,C8174
C5588,C5414
C15244,C15546
C612,C6308
C620,C585
C22529,C15920
C754,C14307
C16465,C4920
C585,C241
C4920,C20425
C754,C5987
C5136,C10105
C743,C12773
C20800,C585
C22112,C17815
C8021,C4920
C4222,C17045
C3028,C13232
C2091,C23324
C15244,C21953
C1346,C23099
C15244,C27168
C12720,C2651
C1549,C591
C1544,C10131
C22529,C14874
C4352,C4920
C3349,C1866
C457,C15303
C368,C1637
C15244,C25502
C23451,C457
C4109,C585
C1973,C23330
C1193,C3028
C5136,C22239
C21801,C754
C4174,C1080
C4920,C9159
C2651,C18825
C5136,C721
C22529,C12943
C15244,C24482
C2174,C1335
C15244,C26044
C5640,C4104
C3173,C10305
C15244,C17385
C2174,C8943
C15244,C19363
C11029,C754
C5136,C6967
C15365,C8086
C1065,C11723
C1379,C585
C15244,C24599
C21446,C338
C15244,C25112
C2882,C4920
C936,C16070
C15244,C5408
C8972,C12226
C4222,C1433
C4920,C8657
C5588,C2672
C22529,C13084
C5136,C12365
C4920,C16459
C5640,C15376
C5136,C16578
C2588,C3611
C3349,C16825
C5855,C5030
C22112,C18282
C2109,C10925
C4777,C12562
C7308,C12484
C1276,C4920
C1544,C9910
C457,C22723
C5136,C19658
C22529,C3354
C5136,C8435
C15244,C21291
C16397,C5640
C17682,C585
C13142,C7298
C18250,C5588
C4222,C866
C10880,C754
C2174,C19746
C1139,C7542
C4920,C1289
C5640,C15139
C10219,C5763
C18495,C8528
C597,C585
C15288,C17416
C307,C585
C5640,C14370
C1423,C625
C20404,C457
C20696,C19959
C17693,C24340
C15244,C23844
C15244,C5902
C3349,C14744
C22529,C19827
C16684,C4920
C5136,C7889
C3028,C11475
C5588,C1444
C15244,C9673
C1993,C17037
C5640,C15920
C22635,C5662
C22112,C25938
C11231,C754
C754,C17552
C7348,C1973
C1707,C9152
C3349,C1011
C21309,C4920
C11001,C743
C5136,C14724
C3349,C17952
C5136,C16214
C3349,C689
C3349,C6161
C5136,C24641
C3349,C17116
C2174,C13769
C2109,C23912
C3349,C23767
C21457,C5720
C2174,C13142
C3349,C8129
C5136,C16673
C4920,C18423
C5640,C17939
C5640,C6750
C5721,C3637
C22529,C3971
C20919,C585
C15288,C21432
C22529,C5396
C5588,C12226
C3028,C4104
C5588,C20944
C19929,C612
C2174,C21423
C22340,C2651
C2109,C21746
C436,C5674
C22275,C3349
C2109,C4131
C7674,C585
C15244,C21087
C2174,C338
C22112,C5919
C5588,C9812
C3596,C2651
C5588,C16976
C1685,C17879
C1795,C19174
C3349,C15178
C16875,C4920
C1544,C8871
C2091,C21908
C20404,C2109
C16260,C754
C3349,C5989
C15244,C27183
C19,C4920
C709,C457
C5588,C7117
C15408,C12642
C2024,C391
C15244,C14575
C5136,C6823
C15244,C17965
C15244,C21370
C4174,C26977
C18142,C5721
C22529,C12192
C15244,C21709
C9498,C529
C5588,C19197
C15244,C197
C5904,C231
C15244,C6943
C13003,C5721
C22050,C585
C21147,C16712
C3028,C15139
C8903,C2651
C20696,C1480
C5588,C12835
C9250,C625
C528,C23246
C15244,C3692
C15244,C23823
C3612,C20244
C457,C16179
C754,C5006
C13669,C3349
C409,C625
C4920,C16061
C3071,C585
C3349,C6356
C3349,C16916
C21521,C754
C754,C15663
C21746,C457
C4920,C19452
C1202,C612
C15538,C754
C5640,C14975
C5720,C7908
C10521,C5720
C3028,C1179
C15244,C27008
C4222,C3178
C15114,C457
C22529,C10213
C2091,C12393
C15244,C25091
C22529,C21425
C3349,C22096
C2174,C8799
C17422,C1973
C4222,C21869
C15244,C23356
C15244,C10656
C4174,C21399
C5136,C11827
C3028,C17939
C944,C11613
C5588,C6689
C754,C4941
C15244,C25713
C3832,C13232
C2109,C22483
C22336,C585
C5640,C8314
C23392,C427
C3349,C6922
C16547,C743
C3349,C278
C20696,C8734
C22529,C19679
C1319,C5997
C3349,C8221
C754,C17231
C585,C8426
C19993,C16712
C5136,C10561
C3349,C10305
C2091,C21711
C4222,C20595
C5136,C15274
C2024,C380
C457,C23815
C3028,C15533
C11529,C5763
C16065,C1567
C2174,C22863
C23767,C625
C9020,C2651
C1795,C13340
C22638,C5919
C1544,C16553
C22674,C585
C754,C11194
C12391,C4920
C3028,C4798
C1795,C12425
C20695,C20450
C4222,C10261
C22529,C19055
C1544,C3692
C15218,C3349
C5640,C12226
C354,C3349
C5640,C6067
C4222,C22042
C13709,C754
C5136,C17701
C16507,C1065
C5136,C16407
C18002,C457
C3349,C4866
C1054,C754
C5640,C9812
C241,C5720
C15244,C12543
C5640,C16976
C8784,C5136
C22529,C15158
C3349,C11475
