edge_index,edge_rarity,src_out_degree,dst_in_degree,src_fan_out,normalized_weight,is_self_loop,is_user_edge,is_ntlm,is_network_logon,auth_success,is_unusual_dst_port,is_ephemeral,protocol_rarity,byte_per_packet_ratio,duration_z_score
0,0.038461538461538464,15,1589,0.5,0.006802721088435374,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
1,0.0017730496453900709,2,5,1.0,0.15319727891156462,0,0,0,0,0,1,0,0.33994618506863683,0.04540099269540365,-0.5357403835603929
2,0.012048192771084338,16,662,0.5,0.022312925170068026,0,0,0,0,0,0,0,0.33994618506863683,0.04540099269540365,-0.5357403835603929
3,0.041666666666666664,12,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
4,0.041666666666666664,16,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
5,0.013157894736842105,14,1905,0.4827586206896552,0.02040816326530612,0,0,0,0,0,0,0,0.7838661619616607,0.33508410547198636,-0.5357403835603929
6,0.002347417840375587,2,3865,1.0,0.11564625850340136,0,0,0,0,0,1,0,0.33994618506863683,0.28915104020188354,-0.5357403835603929
7,0.038461538461538464,4,1589,0.5,0.006802721088435374,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
8,0.041666666666666664,13,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.33994618506863683,0.04540099269540365,-0.5357403835603929
9,0.041666666666666664,6,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
10,0.041666666666666664,11,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
11,0.1,14,1589,0.5,0.0024489795918367346,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
12,0.041666666666666664,2,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
13,0.041666666666666664,11,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
14,0.041666666666666664,4,1589,0.5,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
15,0.011904761904761904,2014,12,0.5589786289203441,0.022585034013605444,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
16,0.04,2014,13,0.5589786289203441,0.006530612244897959,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
17,0.0125,2014,17,0.5589786289203441,0.021496598639455782,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
18,0.012345679012345678,2014,4,0.5589786289203441,0.021768707482993196,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
19,0.008928571428571428,2014,2,0.5589786289203441,0.030204081632653063,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
20,0.008333333333333333,2014,1,0.5589786289203441,0.03238095238095238,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
21,0.008333333333333333,2014,1,0.5589786289203441,0.03238095238095238,0,0,0,0,0,1,0,0.33994618506863683,0.23869535804683759,-0.5357403835603929
22,0.038461538461538464,2014,15,0.5589786289203441,0.006802721088435374,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
23,0.041666666666666664,2014,12,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
24,0.041666666666666664,2014,16,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
25,0.038461538461538464,2014,4,0.5589786289203441,0.006802721088435374,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
26,0.041666666666666664,2014,6,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
27,0.041666666666666664,2014,11,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
28,0.0125,2014,14,0.5589786289203441,0.021496598639455782,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
29,0.041666666666666664,2014,2,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
30,0.041666666666666664,2014,11,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
31,0.041666666666666664,2014,4,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
32,0.018867924528301886,2014,14,0.5589786289203441,0.014149659863945578,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
33,0.041666666666666664,2014,10,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
34,0.041666666666666664,2014,9,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
35,0.041666666666666664,2014,11,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
36,0.041666666666666664,2014,16,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
37,0.041666666666666664,2014,9,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
38,0.037037037037037035,2014,2,0.5589786289203441,0.007074829931972789,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
39,0.038461538461538464,2014,3,0.5589786289203441,0.006802721088435374,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
40,0.041666666666666664,2014,13,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
41,0.041666666666666664,2014,10,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
42,0.041666666666666664,2014,10,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
43,0.041666666666666664,2014,11,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
44,0.041666666666666664,2014,16,0.5589786289203441,0.006258503401360544,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
45,0.023809523809523808,2014,10,0.5589786289203441,0.011156462585034013,0,0,0,0,0,0,0,0.8762484608017512,0.202719650960391,-0.5357403835603929
