source_node,path_score,path_nodes,path_edges,path_length
C12247,1.0,C12247 -> C1065,0,1
C13446,1.0,C13446 -> C612,11109,1
C12334,1.0,C12334 -> C1015 -> C14090,"8242,2939",2
C1903,1.0,C1903 -> C1065,4175,1
C12334,1.0,C12334 -> C1015,8242,1
C11562,1.0,C11562 -> C586,6893,1
C8086,1.0,C8086 -> C2106,12171,1
C276,1.0,C276 -> C528,11303,1
C595$@DOM1,1.0,C595$@DOM1 -> C595$@DOM1,4139,1
C1522,1.0,C1522 -> C528,10961,1
C11787,1.0,C11787 -> C586,10946,1
C1984,1.0,C1984 -> C586,8236,1
C14231,1.0,C14231 -> C586,10947,1
C14309$@DOM1,1.0,C14309$@DOM1 -> C14309$@DOM1,5187,1
C595,1.0,C595 -> C529,4138,1
C1480,1.0,C1480 -> C1003 -> C528,"8565,12682",2
C6596,1.0,C6596 -> C586,10948,1
C4645,1.0,C4645 -> C528,15124,1
C1522$@DOM1,1.0,C1522$@DOM1 -> C1522$@DOM1,10962,1
C825,1.0,C825 -> C586,11889,1
C1051,1.0,C1051 -> C1065,7046,1
C12334,1.0,C12334 -> C1015 -> C17558,"8242,9480",2
C282$@DOM1,1.0,C282$@DOM1 -> C282$@DOM1,10844,1
C8849,1.0,C8849 -> C586,10834,1
C10876,1.0,C10876 -> C528,14378,1
C11171,1.0,C11171 -> C586,14112,1
C12356,1.0,C12356 -> C467,5179,1
C282,1.0,C282 -> C467,10843,1
C826,1.0,C826 -> C586,4178,1
C15211,1.0,C15211 -> C529,8280,1
C7581,1.0,C7581 -> C612,10884,1
C11646,1.0,C11646 -> C586,4176,1
C12334$@DOM1,1.0,C12334$@DOM1 -> C12334$@DOM1,8243,1
C10230,1.0,C10230 -> C612,10882,1
C12356$@DOM1,1.0,C12356$@DOM1 -> C12356$@DOM1,5180,1
C1518,1.0,C1518 -> C586,4177,1
C3541,1.0,C3541 -> C2106,12147,1
C1247,1.0,C1247 -> C586,14162,1
C14163,1.0,C14163 -> C586,10881,1
C1480,1.0,C1480 -> C3468,8512,1
C11770$@DOM1,1.0,C11770$@DOM1 -> C11770$@DOM1,2468,1
C6328,1.0,C6328 -> C586,5993,1
C8571,1.0,C8571 -> C467,11072,1
C10807$@DOM1,1.0,C10807$@DOM1 -> C10807$@DOM1,11024,1
C14049,1.0,C14049 -> C528,11569,1
C5927,1.0,C5927 -> C467,7687,1
C2022,1.0,C2022 -> C2022,1050,1
C9643,1.0,C9643 -> C586,7973,1
C8040$@DOM1,1.0,C8040$@DOM1 -> C8040$@DOM1,4906,1
C13414$@DOM1,1.0,C13414$@DOM1 -> C13414$@DOM1,2478,1
