edge_index,edge_rarity,src_out_degree,dst_in_degree,is_ntlm,is_network_logon,is_success_auth,source_fan_out,weight_norm,is_self_loop,is_user_edge,is_unusual_dst_port,protocol_rarity,byte_per_packet,duration_zscore,temporal_decay_weight
0,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
1,1.0,1,1,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.7708333333333334,0.02127659574468085,0.0,1.0
2,1.0,1,1,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.7708333333333334,0.02127659574468085,0.0,1.0
3,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
4,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
5,1.0,1,1,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.9791666666666666,1.0,0.0,1.0
6,1.0,1,1,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.7708333333333334,0.9787234042553191,0.0,1.0
7,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
8,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.7708333333333334,0.02127659574468085,0.0,1.0
9,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
10,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
11,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
12,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
13,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
14,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
15,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
16,0.5,32,1,0.0,0.0,0.0,32,0.5,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
17,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
18,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
19,0.5,32,1,0.0,0.0,0.0,32,0.5,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
20,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
21,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,1.0,0.7708333333333334,0.8936170212765957,0.0,1.0
22,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
23,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
24,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
25,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
26,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
27,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
28,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
29,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
30,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
31,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
32,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
33,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
34,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
35,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
36,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
37,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
38,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
39,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
40,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
41,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
42,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
43,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
44,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
45,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
46,1.0,32,1,0.0,0.0,0.0,32,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
47,1.0,1,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.25,0.43617021276595747,0.0,1.0
