edge_index,edge_rarity,src_out_degree,dst_in_degree,src_fan_out,normalized_weight,is_self_loop,is_user_edge,is_ntlm,is_network_logon,auth_success,is_unusual_dst_port,is_ephemeral,protocol_rarity,byte_per_packet_ratio,duration_z_score
0,1.0,3,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
1,0.5,1,1,1.0,0.02127659574468085,0,0,0,0,0,1,0,0.24065082204617083,0.22448457999659227,-0.490328886088019
2,0.25,1,33,0.5,0.06382978723404255,0,0,0,0,0,0,0,0.24065082204617083,0.22448457999659227,-0.490328886088019
3,1.0,1,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
4,1.0,4,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
5,0.5,3,239,0.42857142857142855,0.02127659574468085,0,0,0,0,0,0,0,0.8478575687878014,0.499914806611007,-0.490328886088019
6,1.0,1,858,1.0,0.0,0,0,0,0,0,1,0,0.24065082204617083,0.43354915658544896,-0.490328886088019
7,1.0,1,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
8,1.0,2,167,0.5,0.0,0,0,0,0,0,0,0,0.24065082204617083,0.22448457999659227,-0.490328886088019
9,1.0,1,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
10,1.0,3,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
11,1.0,2,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
12,1.0,1,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
13,1.0,2,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
14,1.0,2,167,0.5,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
15,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
16,0.5,256,2,0.6052009456264775,0.02127659574468085,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
17,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
18,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
19,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
20,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
21,0.2,256,1,0.6052009456264775,0.0851063829787234,0,0,0,0,0,1,0,0.24065082204617083,0.3884818538081445,-0.490328886088019
22,1.0,256,3,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
23,1.0,256,1,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
24,1.0,256,4,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
25,1.0,256,1,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
26,1.0,256,1,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
27,1.0,256,3,0.6052009456264775,0.0,0,0,0,0,0,0,0,0.9114916091660278,0.3464815130345885,-0.490328886088019
